CRUSADE_TOO_DISTANT;Эти неверные не могут стать целью крестового похода, поскольку находятся слишком далеко.;Ces infidиles constituent une cible trop distante pour une croisade.;Diese Unglдubigen sind als Ziel fьr einen Kreuzzug zu weit entfernt.;;Esos infieles son un blanco demasiado distante para una cruzada.;;;;;;;;;x;
EVTNAME710;Жалобы на шерифа;Plaintes contre le bailli;Beschwerden ьber Verwalter;;Quejas sobre el alguacil;;;;;;;;;x;
EVTDESC710;Шериф в одной из наших провинций заработал репутацию жадного и жестокого человека. Местное население подало прошение о его отставке.;Le bailli d'une de nos provinces est rйputй pour son aviditй et sa cruautй. La population locale a rassemblй une pйtition pour demander son йviction.;Ein Verwalter in einer unserer Provinzen hat einen Ruf als grausame und gierige Person. Die Lokalbevцlkerung hat eine Petition gestartet, um ihn loszuwerden.;;Un alguacil de una de nuestras provincias se ha ganado la reputaciуn de cruel y avaro. La poblaciуn local ha solicitado que lo despidan.;;;;;;;;;x;
EVTOPTA710;Казнить шерифа;Exйcutez le bailli !;Exekutiert den Verwalter;;ЎEjecuta al alguacil!;;;;;;;;;x;
EVTOPTB710;Проигнорировать жалобы;Ignorez les plaintes.;Ignoriert die Beschwerden;;Desatiende las quejas;;;;;;;;;x;
EVTNAME711;Священники проповедуют ересь;Des prкtres prкchent l'hйrйsie !;Priester predigen eine Hдresie!;;ЎLos sacerdotes predican herejнa!;;;;;;;;;x;
EVTDESC711;Ходят слухи о том, что ряд священников проповедует ересь, очевидно направленную против нашей единственной истинной веры. Похоже, местное население верит им. В скором будущем это может привести к проблемам.;Selon certaines rumeurs, plusieurs prкtres auraient prкchй une hйrйsie, ce qui est clairement contraire а notre unique vraie foi. La population locale semble les йcouter, ce qui risque de poser problиme а l'avenir.;Gerьchte sprechen von mehreren Priestern, die eine Hдresie verbreitet haben, die klar gegen den wahren Glauben ist. Die Lokalbevцlkerung scheint ihren Worten zu folgen, und das kцnnte in Zukunft zu Problemen fьhren.;;Se dice que varios sacerdotes estбn difundiendo una herejнa claramente contra nuestra verdadera fe. La poblaciуn local parece seguirles, y puede suponer un problema en el futuro.;;;;;;;;;x;
EVTOPTA711;Проигнорировать;Ignorez l'hйrйsie.;Ignoriert die Hдresie;;No hagas caso de la herejнa;;;;;;;;;x;
EVTOPTB711;Принять решительные меры;Sйvissez !;Geht dagegen vor!;;ЎToma medidas enйrgicas!;;;;;;;;;x;
EVTNAME712;Резкая переоценка денег;Importante revalorisation monйtaire;Dramatische Wдhrungsneuberechnung;;Dramбtica revaluaciуn de la moneda;;;;;;;;;x;
