WEWAR;Ìû íàõîäèìñÿ â ñîñòîÿíèè âîéíû.;Nous sommes en guerre;Wir sind im Krieg;Jesteœmy w stanie wojny;Estamos en guerra;Siamo in guerra;Háborúban állunk;Jsme ve válce;;;;;;x
policy_restricted;Îãğàíè÷åíèÿ âíóòğåííåé ïîëèòèêè;Politique restreinte;Politikbeschränkung;Polityka restrykcyjna;Política restringida;Restrizione sulla linea di condotta;Politikai megszorítások;Omezení politiky;;;;;;x
EVTNAME6006;Ãîğîä-ãîñóäàğñòâî òğåáóåò íåçàâèñèìîñòè;Les cités-états réclament leur indépendance;Stadtstaat fordert Unabhängigkeit;Prowincja ¿¹da niezale¿noœci;Una ciudad estado quiere la independencia;La città-stato vuole l'indipendenza;Egy városállam követeli a függetlenségét;Mìstskı stát poaduje nezávislost;;;;;;x
EVTDESC6006;Æèòåëè Âåíåöèè õîòÿò ïîëó÷èòü îáğàòíî ñâîş íåçàâèñèìîñòü.;Les citoyens de Venise veulent recouvrer leur indépendance.;Die Bürger von Venedig wollen ihre Unabhängigkeit zurück.;Obywatele Wenecji chc¹ odzyskaæ niezale¿noœæ.;Los ciudadanos de Venecia quieren recuperar la independencia.;I cittadini di Venezia rivogliono la loro indipendenza.;Velence lakossága vissza akarja kapni a függetlenségét.;Obyvatelé Benátek poadují svoji nezávislost zpìt.;;;;;;x
EVTOPTA6006;Õà, ğàçìå÷òàëèñü;Ben voyons…;Nix da...;Nie...;Tonterías...;Non se ne parla;Soha…;Pche...;;;;;;x
EVTOPTB6006;Íàì ñòîèò ïğèíÿòü ıòî âî âíèìàíèå;Nous allons y réfléchir.;Wir werden es uns überlegen;Przemyœlimy to.;Lo pensaremos;Ci penseremo;Meggondoljuk.;Zváíme to;;;;;;x
LOAD_CAPACITY_LABEL;Ìîæåò ïåğåâîçèòü ïîëêîâ: $NUM$.;Peut porter $NUM$ régiments.;Can carry $NUM$ regiments.;Mo¿e pomieœciæ $NUM$ pu³ki(-ów).;Puede llevar $NUM$ regimiento(s).;Può portare $NUM$ reggimenti.;$NUM$ ezredet tud szállítani.;Mùe vézt $NUM$ regimentù.;;;;;;x
tutorial_completed;Íà ıòîì ıòà ÷àñòü îáó÷åíèÿ çàâåğøåíà.;Le didacticiel est terminé.;That concludes this chapter of the tutorial..;W ten sposób koñczymy tê czêœæ samouczka.;Así concluye este capítulo del tutorial.;E così questo capitolo del tutorial è finito.;Ezzel el is érkeztünk az oktatópálya végéhez..;To zahrnuje tuto kapitolu úvodní èásti…;;;;;;x
CVIEW_PRESTIGE_GAIN;§YÅæåãîäíûé ïğèğîñò:§W;Gain annuel :;Jährlicher Ertrag:;Roczny przyrost:;Ganancia anual:;Profitto annuale:;Évi bevételek:;Roèní zisk:;;;;;;x
CVIEW_PRESTIGE_DECAY;§YÅæåãîäíûé ñïàä:§W;Perte annuelle : ;Jährlicher Verlust:;Roczny spadek:;Pérdida anual:;Declino annuale:;Évi kiadások:;Roèní úbytek:;;;;;;x
NAVY_CORE_ONLY;Ìû ìîæåì ñòğîèòü êîğàáëè òîëüêî â ñâîèõ íàöèîíàëüíûõ ïğîâèíöèÿõ.;Vous ne pouvez créer des marines que dans une province légitime que vous contrôlez.;Sie können Flotten nur in von Ihnen kontrollierten Kernprovinzen bauen.;Mo¿esz budowaæ okrêty jedynie w kontrolowanych prowincjach narodowych.;Solo podéis construir armadas en uno de vuestros núcleos provinciales que controléis.;Puoi creare le flotte solo in uno delle tue principali province che controlli.;Csak olyan magprovinciádon építhetsz flottát, amely a te befolyásod alá esik.;Lodi mùete stavìt pouze v dùleité provincii, kterou ovládáte.;;;;;;x
ARMY_CORE_ONLY;Ìû ìîæåì ôîğìèğîâàòü àğìèè â ïğîâèíöèÿõ, ÿâëÿşùèõñÿ íàöèîíàëüíûìè äëÿ íàøåé èëè äğóãîé äåğæàâû.;Vous ne pouvez créer des armées que dans une province légitime que vous contrôlez.;Sie können Armeen nur in von Ihnen kontrollierten Kernprovinzen bauen.;Mo¿esz budowaæ armie jedynie w kontrolowanych prowincjach narodowych.;Solo podéis crear ejércitos en una provincia que controléis y que sea núcleo de alguna nación.;Puoi creare le armate solo in una provincia che controlli e che è il cuore di una nazione.;Csak olyan provincián építhetsz sereget, amely a te befolyásod alá esik.;Armády mùete verbovat pouze v dùleité provincii (ne nezbytnì vaší), kterou ovládáte.;;;;;;x
