ROY_WITH_MESS;Заключенные династические браки:\n;Mariages royaux avec : \n;Unsere Staatsehen sind mit.\n;;Matrimonios reales con: \n;;;;;;;;;x;
HEADER_MISSION;Задания и решения;Missions et dйcisions;Missionen&Entscheidungen;;Misiones y decisiones;;;;;;;;;x;
EVTNAME9200;Богатые соседи;Riches voisins;Reiche Nachbarn;;Vecinos opulentos;;;;;;;;;x;
EVTDESC9200;До нас дошли слухи о богатых землях, лежащих по ту сторону границы. Кое-кто считает, что мы обязаны отнять у состоятельных, но слабых соседей города, которые по праву должны принадлежать нам. Или, по крайней мере, хорошенько их пограбить...;$MONARCHTITLE$ $MONARCH$ a eu vent de l’existence de richesses par-delа les frontiиres $COUNTRY_ADJ$. En $COUNTRY$, des factions estiment que certaines villes nous reviennent de droit. Ou du moins qu’elles devraient кtre mises а sac.;Gerьchte erreichten $MONARCHTITLE$ $MONARCH$ , die von Reichtьmern jenseits der Grenzen von $COUNTRY_ADJ$ sprechen. Faktionen in $COUNTRY$ meinen, dass einige der Stдdte dort rechtmдЯig unser sind, oder sie zumindest geplьndert werden sollten…;;Han llegado rumores a $MONARCHTITLE$ $MONARCH$ sobre las riquezas mбs allб de la frontera de $COUNTRY_ADJ$. Algunas facciones dentro de $COUNTRY$ afirman que ciertas ciudades deberнan ser nuestras por derecho. O al menos, saqueadas…;;;;;;;;;x;
EVTOPTA9200;Этот плод созрел, пора его срывать;Il est temps de s’en emparer.;Zeit, es zu holen.;;Lista para saquear.;;;;;;;;;x;
EVTNAME9201;Слабые соседи;Voisins plus fragiles;Schwдchere Nachbarn;;Vecinos mбs dйbiles;;;;;;;;;x;
EVTDESC9201;Небольшие государства должны стать частью нашей державы. Мы определенно обязаны расширить свои границы.;Les petits royaumes devraient кtre dirigйs par les $COUNTRY_ADJ$. Nous devons impйrativement agrandir $COUNTRY$.;Kleinere Reiche sollten von $COUNTRY_ADJ$ beherrscht werden. Wir mьssen die GrцЯe von $COUNTRY$ erweitern.;;Los reinos mбs pequeсos deberнan ser gobernados por $COUNTRY_ADJ$. Necesitamos sin duda aumentar el tamaсo de $COUNTRY$.;;;;;;;;;x;
EVTOPTA9201;Уничтожьте их!;Йcrasez-les !;Vernichtet sie!;;ЎAplбstalos!;;;;;;;;;x;
EVTNAME9202;$MONARCH$ демонстрирует слабость;$MONARCHTITLE$ $MONARCH$ montre des signes de faiblesse.;$MONARCHTITLE$ $MONARCH$ zeigt Schwдche.;;$MONARCHTITLE$ $MONARCH$ muestra debilidad.;;;;;;;;;x;
EVTDESC9202;Слишком долго мы жили в мире с соседями, а это означает, что мы постепенно приходим в упадок. Это не $COUNTRY_ADJ$ путь, и потому ряд патриотов решил взять власть в свои руки. Возможно, скоро у нас будет новый $MONARCHTITLE$...;Nous sommes en paix depuis bien trop longtemps, ce qui ne fait qu’accroоtre notre dйcadence. Ce n’est pas digne des $COUNTRY_ADJ$ et certains commencent а revendiquer le titre de $MONARCHTITLE$.;Wir waren zu lange im Frieden, und dadurch werden wir immer dekadenter. Dies ist nicht der Weg von $COUNTRY_ADJ$ , und einige Individuen haben begonnen, sich selbst zu den neuen $MONARCHTITLE$ auszurufen.;;Hemos estado en paz demasiado tiempo, lo cual significa que nos volvemos decadentes. En $COUNTRY_ADJ$ no somos asн, y algunos individuos empiezan a proclamarse los nuevos $MONARCHTITLE$.;;;;;;;;;x;
EVTOPTA9202;Пришло время показать свою силу;Il est temps de nous imposer.;Es ist Zeit, Stдrke zu zeigen.;;Hora de mostrar fuerza.;;;;;;;;;x;
EVTNAME9203;Миролюбивые правители;La maison $DYNASTY$ est une maison de paix.;$DYNASTY$ ist ein friedliches Haus.;;$DYNASTY$ es una casa pacнfica.;;;;;;;;;x;
EVTDESC9203;Наше племя слишком долго живет в мире - это явный признак слабости и вырождения. Виной тому наша правящая династия, род $DYNASTY$. Всему племени ясно, что они больше не достойны править нами. Нам нужен новый наследник!;Notre tribu est en paix depuis trop longtemps, ce qui est un signe de faiblesse et de dйcadence. La maison $DYNASTY$ n’est plus digne de diriger $COUNTRY$. Un nouvel hйritier serait le bienvenu.;Es ist sicher ein Zeichen der Schwдche und der Dekadenz dass wir es zulassen, unseren Stamm so lange in Frieden leben zu lassen. $DYNASTY$ ist eindeutig nicht lдnger fдhig, $COUNTRY$ zu regieren. Ein neuer Thronfolger wдre ein wenig akzeptabler.;;Que dejemos que nuestra tribu caiga en un largo perнodo de paz es un claro sнntoma de debilidad y decadencia. Es evidente que $DYNASTY$ ya no sirve para gobernar $COUNTRY$. Un nuevo heredero serнa algo mбs aceptable.;;;;;;;;;x;
EVTOPTA9203;Отрубить наследнику голову!;Coupez la tкte de $HEIR_CAP_ADJ$ !;$HEIR_CAP_ADJ$ Kopf muss ab!;;ЎCortadle la cabeza a $HEIR_CAP_ADJ$!;;;;;;;;;x;
EVTOPTB9203;Здесь мое слово - закон!;Mes paroles font loi !;Mein Wort ist Gesetz!;;ЎMi palabra es ley!;;;;;;;;;x;
EVTNAME9204;Потеря уважения племени;La tribu respecte de moins en moins les $DYNASTY$;Der Stamm verliert den Respekt vor $DYNASTY$;;La tribu estб perdiendo el respeto a $DYNASTY$;;;;;;;;;x;
EVTDESC9204;У нашего вождя нет наследника, и сам он давно уже не водит в бой мужчин племени. А потому у них появилась масса свободного времени, которое они проводят в размышлениях, достоин ли род $DYNASTY$ править $COUNTRY_ADJ$ воинами.;En l’absence d’hйritier digne de ce nom et de batailles а livrer, les membres des clans de $COUNTRY$ passent bien trop de temps а se demander si la maison des $DYNASTY$ est bien celle qui convient pour diriger les forces $COUNTRY_ADJ$.;Ohne einen rechtmдЯigen Thronfolger und keinen Schlachten zu schlagen verbringen die Stammesbrьder in $COUNTRY$ viel zu viel Zeit damit darьber nachzudenken, ob $DYNASTY$ wirklich das richtige Haus ist, um die Truppen von $COUNTRY_ADJ$ zu fьhren.;;Al no haber un heredero adecuado, ni batallas por luchar, los miembros de los clanes de $COUNTRY$ pierden demasiado tiempo pensando en si la casa de $DYNASTY$ es la adecuada para dirigir las fuerzas de $COUNTRY_ADJ$.;;;;;;;;;x;
EVTOPTA9204;С этим надо быстро что-то делать;Il faut rйgler cela rapidement.;Das muss schnell aus der Welt geschafft werden.;;Esto hay que solucionarlo rбpidamente.;;;;;;;;;x;
EVTNAME9205;Разграбление захваченной провинции;Mise а sac de $PROVINCENAME$;Einnahme von $PROVINCENAME$;;Saqueo de $PROVINCENAME$;;;;;;;;;x;
EVTDESC9205;Провинция $PROVINCENAME$ захвачена нашими доблестными воинами, и $MONARCHTITLE$ $MONARCH$ отдает им город на разграбление. Это серьезно увеличивает его популярность среди мужчин племени.;Nos forces se sont emparйes de $PROVINCENAME$ et $MONARCHTITLE$ $MONARCH$ laisse les troupes rйgner sur la ville. Sa popularitй auprиs des hommes en est considйrablement renforcйe.;$PROVINCENAME$ ist an unsere Truppen gefallen, und $MONARCHTITLE$ $MONARCH$ erlaubt ihnen die Plьnderung. Dies erhцht sein Anssehen unter den Soldaten.;;$PROVINCENAME$ ha caнdo ante nuestras fuerzas, y $MONARCHTITLE$ $MONARCH$ deja que las tropas hagan lo que quieran con la ciudad. Ello aumenta enormemente su popularidad entre los hombres.;;;;;;;;;x;
EVTOPTA9205;$MONARCH$ награждает своих сторонников;$MONARCH$ rйcompense ses partisans.;$MONARCH$ belohnt seine Gefolgsleute.;;$MONARCH$ premia a sus seguidores.;;;;;;;;;x;
IS_NOT_TRIBE;НЕ имеет племенной формы правления;N’est pas une tribu.;Ist kein Stamm.;;No es una tribu.;;;;;;;;;x;
IS_TRIBE;Имеет племенную форму правления;Est une tribu.;Ist ein Stamm.;;Es una tribu.;;;;;;;;;x;
EVTNAME4122;$GRAND_MARSHAL$;$GRAND_MARSHAL$;$GRAND_MARSHAL$;;$GRAND_MARSHAL$;;;;;;;;;x;
EVTDESC4122;Наш великий маршал по-настоящему укрепил легитимность нашей династии. $GRAND_MARSHAL$, спасибо тебе за то, что теперь каждый уважает фамилию $DYNASTY$.;Notre grand marйchal a renforcй la lйgitimitй de nos dynasties. Grвce au $GRAND_MARSHAL$, tout le monde respecte dйsormais les $DYNASTY$.;Unser GroЯmarschall hat den Ruf unserer Dynastie gestдrkt. Dank $GRAND_MARSHAL$ respektiert nun jeder das Haus $DYNASTY$.;;Nuestro mariscal mayor ha reforzado fielmente la legitimidad de nuestras dinastнas. Gracias a $GRAND_MARSHAL$, todos respetan a $DYNASTY$.;;;;;;;;;x;
grand_marshal_boost;Повышенная легитимность;Lйgitimitй renforcйe;Verbesserter Ruf;;Legitimidad reforzada;;;;;;;;;x;
desc_grand_marshal_boost;Репутация нашей династии упрочилась благодаря неустанной заботе нашего великого маршала.;La rйputation de notre dynastie s’amйliore grвce aux efforts de notre grand marйchal.;Der Ruf unserer Dynastie verbessert sich durch die harte Arbeit unseres GroЯmarschalls.;;La reputaciуn de nuestra dinastнa aumenta debido al duro trabajo de nuestro mariscal mayor.;;;;;;;;;x;
KOJ;Иерусалим;Jйrusalem;Jerusalem;;Jerusalйn;;;;;;;;;x;
KOJ_ADJ;Иерусалимск.;jйrusalйmite;Kreuzritter;;Jerosolimitano;;;;;;;;;x;
kingdom_of_jerusalem_title;Восстановить Иерусалимское королевство;Rйtablissement du royaume de Jйrusalem;Richtet das Kцnigreich Jerusalem wieder ein;;Recupera el Reino de Jerusalйn;;;;;;;;;x;
kingdom_of_jerusalem_desc;Возрадуйтесь, братья! Святой Иерусалим снова в руках христиан! Наших христианских руках. И сам Папа Римский пообещал нам, что мы спасем свои души от вечной погибели, если восстановим Иерусалимское королевство.;Rйjouissez-vous ! La ville sainte de Jйrusalem est de nouveau aux mains des Chrйtiens - nos mains. Le pape nous a assurйs de notre salut si nous parvenions а rйtablir le royaume de Jйrusalem.;Jubelt! Das heilige Jerusalem ist wieder in christlicher Hand. In unser christlichen Hand. Der Papst hat uns darьber informiert dass unsere Seelen gerettet sein werden, wenn wir das Kцnigreich Jerusalem wieder einrichten.;;ЎRegocijaos! La Ciudad Santa de Jerusalйn vuelve a estar en manos cristianas: nuestras manos cristianas. El Papa nos ha hecho saber que si recuperбbamos el Reino de Jerusalйn, nuestra salvaciуn estarнa asegurada.;;;;;;;;;x;
EVTNAME400;Недостаток престижа ударяет по влиянию;Notre manque de prestige se rйpercute sur notre sphиre d’influence.;Fehlendes Prestige begrenzt unsere Einflusssphдre;;La falta de prestigio afecta a nuestra zona de influencia;;;;;;;;;x;
EVTDESC400;Из-за низкого престижа нам становится все труднее и труднее поддерживать уважение к нашей сфере влияния. И потому мы должны либо отказаться от своих притязаний, либо провести ряд серьезных реформ.;Compte tenu de notre manque de prestige, nous avons du mal а faire respecter la sphиre d’influence $COUNTRY_ADJ$. Nous risquons de devoir renoncer а nos prйtentions ou de procйder а des changements drastiques.;Durch das fehlende Prestige ist es schwieriger, der Einflusssphдre von $COUNTRY_ADJ$ Respekt zu verschaffen. Wir kцnnten gezwungen sein, unsere Ansprьche aufzugeben, oder zu anderen drastischen Дnderungen getrieben werden.;;Dada nuestra falta de prestigio, es mбs difнcil que la zona de influencia de $COUNTRY_ADJ$ se respete. Quizб debamos renunciar a nuestras exigencias, o nos veamos forzados a hacer algunos cambios drбsticos.;;;;;;;;;x;
EVTOPTA400;Изменения необходимы;Quelques changements seraient peut-кtre utiles.;Einige Дnderungen kцnnten helfen.;;Algunos cambios quizб ayuden.;;;;;;;;;x;
EVTOPTB400;Мы никогда особо и не заботились об этом;Qu’importe, nous ne nous sommes jamais souciйs de notre influence.;Unser Einfluss hat uns noch nie interessiert.;;Nunca nos importу nuestra influencia.;;;;;;;;;x;
EVTNAME401;Престиж династии падает;Le prestige des $DYNASTY$ dйcroоt.;Das Prestige der $DYNASTY$ verfдllt.;;El prestigio de $DYNASTY$ se desvanece.;;;;;;;;;x;
EVTDESC401;Низкий престиж нашего монарха не позволяет нам поддерживать достаточный уровень уважения к нашей сфере влияния. Если мы постараемся сохранить ее, то, в конечном счете, это нанесет урон легитимности нашей правящей фамилии.;Compte tenu du faible prestige de $MONARCHTITLE$ $MONARCH$, $COUNTRY$ a du mal а faire respecter la sphиre d’influence $COUNTRY_ADJ$. En nous efforзant de prйserver celle-ci, nous parviendrons peut-кtre а rйduire la lйgitimitй des $DYNASTY$.;Das niedrige Prestige von $MONARCHTITLE$ $MONARCH$ hat es schwieriger fьr $COUNTRY$ gemacht, $COUNTRY_ADJ$ Einflusssphдre zu unterhalten. Wenn wir weiter versuchen sie aufrechtzuerhalten kцnnten wir die Legitimitдt der $DYNASTY$ verringern.;;El escaso prestigio de $MONARCHTITLE$ $MONARCH$ ha vuelto mбs difнcil que $COUNTRY$ haga que la zona de influencia de $COUNTRY_ADJ$ se respete. Si nos centramos en preservarla, quizб acabemos daсando la legitimidad de $DYNASTY$.;;;;;;;;;x;
EVTOPTA401;Легитимность - это просто слово;La lйgitimitй n’est qu’un mot.;Legitimitдt ist nur ein Wort.;;Legitimidad es solo una palabra.;;;;;;;;;x;
EVTOPTB401;Престол должен быть в безопасности;Le trфne doit кtre protйgй.;Der Thron muss sicher sein.;;El trono debe ser seguro.;;;;;;;;;x;
EVTNAME402;Папа ставит под вопрос сферу нашего влияния;Le pape conteste notre sphиre d’influence;Der Papst stellt unsere Einflusssphдre in Frage.;;El Papa cuestiona nuestra zona de influencia;;;;;;;;;x;
EVTDESC402;Престиж нашей державы находится на крайне низком уровне, так что не удивительно, что Папа Римский не слишком удовлетворен нашим влиянием на соседние страны. Возможно, кардиналы нашептывают ему, что мы должны отступиться от своих претензий.;Compte tenu de notre manque de prestige, on dit que le pape n’est pas pleinement satisfait de la sphиre d’influence $COUNTRY_ADJ$. Il n’est pas impossible qu’il ait suggйrй а quelques cardinaux de nous faire cйder.;Mit unserem fehlenden Prestige ist das Gerьcht im Umlauf, dass der Papst nicht glьcklich mit der Einflusssphдre von $COUNTRY_ADJ$ Ist. Er soll einigen Kardinдlen anvertraut haben, dass wir uns zurьckhalten mьssten.;;Dado nuestro escaso prestigio, se dice que el Papa no estб del todo contento con la zona de influencia de $COUNTRY_ADJ$. Parece que ha insinuado a algunos cardenales que deberнamos dar marcha atrбs.;;;;;;;;;x;
EVTOPTA402;В любом случае, его обманули;Le pape est probablement illйgitime de toute faзon.;Der Papst hat sowieso unrecht.;;Seguramente el Papa se equivoca.;;;;;;;;;x;
EVTOPTB402;Мы никогда особо и не заботились об этом;Qu’importe, nous ne nous sommes jamais souciйs de notre influence.;Unser Einfluss hat uns noch nie interessiert.;;Nunca nos importу nuestra influencia.;;;;;;;;;x;
EVTNAME403;Низкий престиж державы;Faible prestige de $COUNTRY$;Niedriges Prestige in $COUNTRY$;;Poco prestigio en $COUNTRY$;;;;;;;;;x;
