HEADER_MISSION_REMOVE;Решения;Dйcisions;Entscheidungen;;Decisiones;;;;;;;;;x;
MODIFIER_COLONIAL_GROWTH;Рост колоний;Croissance coloniale mondiale;Globales Kolonialwachstum;;Crecimiento colonial global;;;;;;;;;x;
MODIFIER_LOCAL_COLONIAL_GROWTH;Рост колонии в провинции;Croissance coloniale locale;Lokales Kolonialwachstum;;Crecimiento colonial local;;;;;;;;;x;
press_gangs;Насильственная вербовка;Enrфleurs;Zwangsrekrutierung;;Bandas de reclutadores;;;;;;;;;x;
vetting;Проверки благонадежности;Contrфle;Sicherheitsьberprьfungen;;Examen previo;;;;;;;;;x;
ecumenism;Экуменизм;Њcumйnisme;Цkumene;;Ecumenismo;;;;;;;;;x;
land_of_opportunity;Земля возможностей;Terre d’opportunitйs;Land der Mцglichkeiten;;Tierra de oportunidades;;;;;;;;;x;
regimental_system;Полковая система;Systиme de recrutement;Regimentsystem;;Sistema regimental;;;;;;;;;x;
press_gangs_desc;Жизнь в море трудна и сурова, и не всякий горит желанием служить на флоте. Легализовав насильственную вербовку матросов, мы сможем быстрее набирать экипажи для кораблей. Это серьезно ускорит процесс снаряжения кораблей.;La vie en mer est dure, impitoyable et faire carriиre dans la marine n’est pas donnй а tous. En lйgalisant l'enrфlement de force des marins, il sera plus facile de trouver des йquipages, ce qui accйlйrera le processus d’armement de navires.;Das Leben auf See ist hart und nicht jeder ist auf eine Karriere bei der Flotte erpicht. Durch die Legalisierung der Zwangsrekrutierung von Mдnnern mit Seefahrtserfahrung wird es einfacher sein, unsere Schiffe zu bemannen, was die Zeit verkьrzen wird, unsere Schiffe in Dienst zu stellen.;;La vida en el mar es dura e implacable y no todo el mundo estб dispuesto a hacer carrera en la Armada. Si legalizamos la requisiciуn de hombres con costumbres de vida marineras, serб mбs fбcil dotar de tripulaciуn a nuestros barcos, acelerando asн el proceso de puesta en servicio de barcos.;;;;;;;;;x;
vetting_desc;"При наличии такого большого количества выгодных должностей мы порой обнаруживаем, что те, кто должен управлять нашими делами, падки до взяток со стороны иностранцев. Некоторые простые и незаметные проверки помогут нам избавиться от самых рьяных любителей ""борзых щенков"".";Avec autant de riches bureaux, nous nous rendons parfois compte que ceux qui gиrent notre administration sont susceptibles d’кtre soudoyйs par les puissances йtrangиres. Quelques vйrifications devraient permettre d’en savoir plus.;Mit so vielen Stellen fьr Profit finden wir manchmal, das jene, die unsere Administration fьhren, fьr die Bestechungen anderer Mдchte anfдllig sind. Einige einfache Hintergrundьberprьfungen werden die offensichtlichsten ausschalten.;;Con tantos cargos, a veces nos encontramos con que aquellos que dirigen nuestra administraciуn son susceptibles a sobornos por parte de potencias extranjeras. Con una sencilla inspecciуn de los antecedentes se erradicarб a los mбs susceptibles.;;;;;;;;;x;
