MODIFIER_TECHNOLOGY_COST;Стоимость технологий;Coыt technologique;Technologiekosten;;Coste tecnolуgico;;;;;;;;;x;;;;;;;;;;;;;
MODIFIER_DISCIPLINE;Дисциплина;Discipline;Disziplin;;Disciplina;;;;;;;;;x;;;;;;;;;;;;;
MODIFIER_REINFORCE_SPEED;Скорость пополнения полков;Renforcer la vitesse;Verstдrkungsgeschwindigkeit;;Velocidad de refuerzos;;;;;;;;;x;;;;;;;;;;;;;
UV_SHIPS;Кораблей:;Navires :;Schiffe:;;Barcos:;;;;;;;;;x;;;;;;;;;;;;;
UNIT_QUEUED;(в очереди);(file d’attente);(eingereiht);;(en cola);;;;;;;;;x;;;;;;;;;;;;;
QUEUE_SIZE;Подразделений в очереди: $SIZE$.;La file d’attente compte $SIZE$ unitйs.;In der Baureihe befinden sich $SIZE$ Einheiten.;;Hay $SIZE$ unidades en la cola.;;;;;;;;;x;;;;;;;;;;;;;
CURRENTLY_QUEUED;В этой провинции в очереди на формирование уже находится $SIZE$ подразд.;$SIZE$ unitйs sont aussi en attente de production dans cette province.;In der Baureihe dieser Provinz befinden sich auЯerdem $SIZE$ Einheiten.;;Tambiйn hay $SIZE$ unidades en la cola de producciуn en esta provincia.;;;;;;;;;x;;;;;;;;;;;;;
TIP_CONSTR_MERC;Нанять наемников;Engager des mercenaires;Sцldner anwerben;;Contratar mercenarios;;;;;;;;;x;;;;;;;;;;;;;
NO_MERCS_AROUND;Мы можем нанимать наемников только на том же континенте, на котором расположена и ваша столица.;Vous ne pouvez engager des mercenaires que sur votre continent.;Sцldner kцnnen Sie nur auf Ihrem eigenen Kontinent anwerben.;;Solo puedes contratar mercenarios en tu propio continente.;;;;;;;;;x;;;;;;;;;;;;;
CONSOLIDATE_BUTTON;Слияние полков.\nОбъединение всех однотипных полков неполного состава для создания как можно большего числа полков штатной численности.;Consolider les rйgiments. Fusionner tous les rйgiments en sous effectifs pour crйer le plus de rйgiments puissants possible.;Regimenter zusammenlegen. Legen Sie zur Schaffung mцglichst vieler Einheiten mit voller Mannstдrke sдmtliche geschwдchten Einheiten desselben Typs zusammen.;;Consolidar regimientos. Combina los regimientos del mismo tipo con bajas para crear el mayor nъmero de regimientos posible a plena capacidad. ;;;;;;;;;x;;;;;;;;;;;;;
BATTLES_SCORE;Битвы: ;Batailles : ;Schlachten: ;;Batallas: ;;;;;;;;;x;;;;;;;;;;;;;
SETREVOLUTIONTARGET_EFFECT;Держава §Y$WHO$§W станет основным источником революции.\n;$WHO$ deviendra la source principale de la rйvolution.;$WHO$ wird zur treibenden Hauptkraft der Revolution werden.;;§Y$WHO$§W se convertirб en el principal foco de revoluciуn.\n;;;;;;;;;x;;;;;;;;;;;;;
ROYAL_MARRIAGE_EFFECT;Заключит династический брак с державой §Y$WHO$§W.\n;Mariage royal avec $WHO$.;Staatsehe mit $WHO$.;;Matrimonio real con §Y$WHO$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
ALLIANCE_EFFECT;Заключит союзный договор с державой §Y$WHO$§W.\n;Alliance avec $WHO$.;Bьndnis mit $WHO$.;;Alianza con §Y$POWER$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
CREATE_ADMIRAL_EFFECT;Появится адмирал при традициях в §Y$POWER$§W%.\n;Obtenir un amiral avec la tradition $POWER$.;Admiral mit $POWER$-Tradition erhalten.;;Se obtiene un almirante con la tradiciуn §Y$POWER$§W\n;;;;;;;;;x;;;;;;;;;;;;;
CREATE_EXPLORER_EFFECT;Появится исследователь при традициях в §Y$POWER$§W%.\n;Obtenir un explorateur avec la tradition $POWER$.;Entdecker mit $POWER$-Tradition erhalten.;;Se obtiene un explorador con la tradiciуn §Y$POWER$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
CREATE_CONQUISTADOR_EFFECT;Появится первопроходец при традициях в §Y$POWER$§W%.\n;Obtenir un conquistador avec la tradition $POWER$.;Konquistador mit $POWER$-Tradition erhalten.;;Se obtiene un conquistador con la tradiciуn §Y$POWER$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
CREATE_GENERAL_EFFECT;Появится генерал при традициях в §Y$POWER$§W%.\n;Obtenir un gйnйral avec la tradition $POWER$.;General mit $POWER$-Tradition erhalten.;;Se obtiene un general con la tradiciуn §Y$POWER$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
CREATE_COLONY;В провинцию §Y$WHERE$§W прибудут новые колонисты числом §Y$SIZE$§W.\n;$SIZE$ colon(s) va(vont) arriver а $WHERE$.;$SIZE$ Kolonist(en) werden erwartet in $WHERE$.;;§Y$SIZE$§W colono(s) llegarбn a §Y$WHERE$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
REMOVE_MERCHANT_EFFECT;Купец державы §R$WHO$§W покинет торговый центр в провинции §Y$WHERE$§W.\n;$WHO$ perd un marchand а $WHERE$.;$WHO$ verliert einen Hдndler in $WHERE$.;;§R$WHO$§W pierde un comerciante en §Y$WHERE$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
SEND_MERCHANT_EFFECT;Купец державы §G$WHO$§W прибудет в торговый центр в провинции §Y$WHERE$§W.\n;$WHO$ gagne un marchand а $WHERE$.;$WHO$ erlangt einen Hдndler in $WHERE$.;;§G$WHO$§W gana un comerciante en §Y$WHERE$§W.\n;;;;;;;;;x;;;;;;;;;;;;;
KILL_RULER_EFFECT;Умрет нынешний правитель (§Y$NAME$§W).\n;Le monarque actuel ($NAME$) va mourir.;Der aktuelle Herrscher ($NAME$) wird bald sterben.;;El lнder actual (§Y$NAME$§W)  morirб.\n;;;;;;;;;x;;;;;;;;;;;;;
KILL_LEADER_EFFECT;Умрет командующий §Y$NAME$§W.\n;Le monarque $NAME$ va mourir.;Anfьhrer $NAME$ wird bald sterben.;;El lнder §Y$NAME$§W morirб.\n;;;;;;;;;x;;;;;;;;;;;;;
DEFINE_ADMIRAL_EFFECT;Появится адмирал §Y$NAME$§W.\n;L’amiral $NAME$ est disponible.;Admiral $NAME$ wird verfьgbar.;;El almirante §Y$NAME$§W estб disponible.\n;;;;;;;;;x;;;;;;;;;;;;;
DEFINE_EXPLORER_EFFECT;Появится исследователь §Y$NAME$§W.\n;L’explorateur $NAME$ est disponible.;Entdecker $NAME$ wird verfьgbar.;;El explorador §Y$NAME$§W estб disponible.\n;;;;;;;;;x;;;;;;;;;;;;;
DEFINE_CONQUISTADOR_EFFECT;Появится первопроходец §Y$NAME$§W.\n;Le conquistador $NAME$ est disponible.;Konquistador $NAME$ wird verfьgbar.;;El conquistador §Y$NAME$§W estб disponible.\n;;;;;;;;;x;;;;;;;;;;;;;
DEFINE_GENERAL_EFFECT;Появится генерал §Y$NAME$§W.\n;Le gйnйral $NAME$ est disponible.;General $NAME$ wird verfьgbar.;;El general §Y$NAME$§W estб disponible.\n;;;;;;;;;x;;;;;;;;;;;;;
RELEASE_VASSAL_EFFECT;Держава §W$TARGET$§Y получит независимость в качестве вассала.\n;$TARGET$ deviendra une nation libre.;$TARGET$ wird einer freien Nation.;;§W$TARGET$§Y se convertirб en una naciуn libre y vasalla.\n;;;;;;;;;x;;;;;;;;;;;;;
#############;;;;;;;;;;;;;;x;;;;;;;;;;;;;
REVOLUTION_WAR_NAME;$ORDER$Война $FIRST$ революции;$ORDER$Guerre de$FIRST$ la rйvolution;$ORDER$Krieg der $FIRST$ Revolution;;$ORDER$Guerra revolucionaria de $FIRST$;;;;;;;;;x;;;;;;;;;;;;;
MODIFIER_REMOVED;$WHERE$: перестанет действовать модификатор '§Y$WHAT$§W'.\n;$WHAT$ va кtre supprimй(e) de $WHERE$.;$WHAT$ wird entfernt aus $WHERE$.;;$WHAT$ se eliminarб de $WHERE$.\n;;;;;;;;;x;;;;;;;;;;;;;
#############;;;;;;;;;;;;;;x;;;;;;;;;;;;;
OPENEDMARKET;Они закрыли свои рынки для наших купцов.;Ils nous ont fermй leur marchй;Sie haben Ihren Markt fьr uns geschlossen.;;Nos han cerrado su mercado;;;;;;;;;x;;;;;;;;;;;;;
