MILALLWEBAN_BTN3;Перейти;Voir;Zeigen;Idџ do;Ir allн;Vai a;Ugrбs;Pшejнt na;;;;;;x
ALL_PLAYERS_HERE;Все игроки на месте.;Tous les joueurs sont arrivйs.;Alle Spieler sind angekommen.;Wszyscy gracze s№ dostкpni.;Han llegado todos los jugadores.;Tutti i giocatori sono arrivati;Minden jбtйkos megйrkezett.;Vљichni hrбиi dorazili.;;;;;;x
MILD_WINTER;Мягкая зима;Hiver doux;milder Winter;^agodna zima;Invierno suave;Inverno mite;Enyhe tйl;Mнrnб zima;;;;;;x
NORMAL_WINTER;Нормальная зима;Hiver normal;normaler Winter;Normalna zima;Invierno normal;Inverno normale;Бtlagos tйl;Normбlnн zima;;;;;;x
SEVERE_WINTER;Суровая зима;Hiver rude;strenger Winter;Mroџna zima;Invierno duro;Inverno rigido;Hideg tйl;Krutб zima;;;;;;x
alert_revoltrisk_in_provinces_instant;§YВозможны восстания!§W;§YRevoltes possibles§W;§YRevolten mцglich§W;§YMoїliwoњж buntu§W;§YPosibles rebeliones§W;Possibili rivolte;§YLбzadбs lehetsйges§W;§YMoћnй revolty§W;;;;;;x
alert_revoltrisk_in_provinces_delayed;В следующих провинциях недовольство может перерасти в мятеж:\n$LIST$;Les provinces suivantes courent un risque de se rйvolter.\n$LIST$.;Die folgenden Provinzen laufen Gefahr, zu revoltieren:\n$LIST$.;Nastкpuj№ce prowincje s№ zagroїone buntem.\n$LIST$;Las siguientes provincias corren el riego de sufrir una rebeliуn.\n$LIST$;Le seguenti province sono a rischio di rivolta.\n$LIST$;A kцvetkezх provinciбkon бll fent lбzadбs esйlye.\n$LIST$;V nбsledujнcнch provinciнch mщћe propuknout revolta.\n$LIST$;;;;;;x
SM_MULTISAMPLE;Сглаживание;Niveau de dйtail graphique;Multisample Level;Poziom prуbkowania;Nivel de 'antialiasing';Livello multisample;Tцbbszцrцs mintavйtelezйs szintje;Ъroveт vzorkovбnн;;;;;;x
RESTART_REQ;Требуется перезагрузка;Redйmarrage requis;Neustart erforderlich ;Wymaga ponownego uruchomienia gry;Es necesario reiniciar.;Riavvio richiesto;Ъjraindнtбst igйnyel;Poћadovбn restart;;;;;;x
RESTART_REQ_DESC;Необходимо перезагрузить игру, прежде чем изменения вступят в силу.;Vous devez redйmarrer le jeu pour que les changements prennent effet.;Sie mьssen das Spiel neu starten, damit die Дnderungen aktiv werden..;Aby zmiany zostaіy wprowadzone, musisz ponownie uruchomiж grк.;Para que estos cambios tengan efecto, debes reiniciar el juego.;Devi riavviare il gioco per applicare queste modifiche.;A vбltoztatбsok йrvйnybelйpйsйhez ъjra kell indнtani a jбtйkot.;Zmмny se uplatnн aћ po restartu hry (musнte restartovat hru).;;;;;;x
very_easy_player;Очень легко;Trиs facile;Schwierigkeitsstufe sehr leicht;Bardzo іatwy;Dificultad: Muy fбcil;Molto facile;Nagyon kцnnyы;Obtнћnost: velmi snadnб;;;;;;x
easy_player;Легко;Facile;Schwierigkeitsstufe leicht;^atwy;Dificultad: Fбcil;Facile;Kцnnyы;Obtнћnost: snadnб;;;;;;x
hard_player;Сложно;Difficile;Schwierigkeitsstufe schwer;Trudny;Dificultad: Difнcil;Difficile;Nehйz;Obtнћnost: tмћkб;;;;;;x
very_hard_player;Очень сложно;Trиs difficile;Schwierigkeitsstufe sehr schwer;Bardzo trudny;Dificultad: Muy difнcil;Molto difficile;Nagyon nehйz;Obtнћnost: velmi tмћkб;;;;;;x
very_easy_ai;Очень легко;Trиs facile;Schwierigkeitsstufe sehr leicht;Bardzo іatwy;Dificultad: Muy fбcil;Molto facile;Nagyon kцnnyы;Obtнћnost: velmi snadnб;;;;;;x
easy_ai;Легко;Facile;Schwierigkeitsstufe leicht;^atwy;Dificultad: Fбcil;Facile;Kцnnyы;Obtнћnost: snadnб;;;;;;x
hard_ai;Сложно;Difficile;Schwierigkeitsstufe schwer;Trudny;Dificultad: Difнcil;Difficile;Nehйz;Obtнћnost: tмћkб;;;;;;x
very_hard_ai;Очень сложно;Trиs difficile;Schwierigkeitsstufe sehr schwer;Bardzo trudny;Dificultad: Muy difнcil;Molto difficile;Nagyon nehйz;Obtнћnost: velmi tмћkб;;;;;;x
CORE_MP_PAUSED_NAME;Игра приостановлена игроком $PLAYER$.;Pause demandйe par $PLAYER$;Pause durch $PLAYER$.;Gra zatrzymana przez gracza $PLAYER$.;En pausa por $PLAYER$.;Messo in pausa da $PLAYER$.;A jбtйkot megбllнtotta: $PLAYER$.;Pozastaveno hrбиem $PLAYER$.;;;;;;x
CORE_MP_PAUSED;Паузу можно снять через $TIME$ сек.;$TIME$ avant que quiconque puisse continuer…;$TIME$ bis jeder die Pause beenden kann....;Pozostaіo $TIME$ do wznowienia gry...;Nadie puede reanudar la partida hasta dentro de $TIME$...;Impossibile riprendere a giocare per: $TIME$.;$TIME$ mъlva bбrki elindнthatja a jбtйkot.;$TIME$ zbэvб, neћ bude moci nмkdo zruљit pauzu...;;;;;;x
OOS_TITLE;Ошибка!;Erreur !;Fehler!;Bі№d!;ЎError!;Errore!;Hiba!;Chyba!;;;;;;x
OOS_DESC;Игра не синхронизирована!;Le jeu n'est plus synchronisй !;Spiel ist nicht lдnger synchron!;Brak synchronizacji w grze!;ЎLa partida ya no estб sincronizada!;Il gioco non и piщ sincronizzato!;A jбtйkosok nincsennek szinkronban!;Hra nenн nadбle synchronizovбna!;;;;;;x
NO_CANNON;Мы пока не умеем производить орудия.;Vous n'avez pas encore appris comment faire des canons.;Wir haben noch nicht gelernt, wie man Kanonen herstellt.;Jeszcze nie wiemy, jak wytwarzaж armaty.;Aъn no hemos aprendido a fabricar caсones.;Non sappiamo ancora come produrre i cannoni.;Mйg nem tudunk бgyъkat kйszнteni.;Jeљtм neumнme vyrбbмt kanуny.;;;;;;x
FE_TUTORIAL;Обучение;Didacticiel;Einfьhrung;Samouczek;Tutoriales;Tutorial;Oktatбs;Ъvodnн ибst;;;;;;x
base_values;Базовое значение;Valeur de base;Basiswert;Stawka podstawowa;Valor base;Valore di base;Alapйrtйk;Zбkladnн hodnota;;;;;;x
