*;NOT USED;*;*;;Rango comercial;;;;;;;;;x;
arctic;Ледники;Arctique;Arktisch;;Бrtico;;;;;;;;;x;
farmlands;Угодья;Terres arables;Nutzflдche;;Tierra cultivada;;;;;;;;;x;
forest;Лес;Forкt;Wald;;Selva;;;;;;;;;x;
woods;Рощи;Bois;Wiesen;;Bosque;;;;;;;;;x;
mountain;Горы;Montagnes;Berge;;Montaсas;;;;;;;;;x;
coastal_desert;Пустыня;Dйsert;Wьste;;Desierto;;;;;;;;;x;
IS_VASSAL_SPHERE;§Y$COUNTRY$§W вассал;Vassal de §Y$COUNTRY$§W;§Y$COUNTRY$§W Vassal;;§Y$COUNTRY$§W vasallo;;;;;;;;;x;
sphere;От стран в сфере влияния;De la sphиre d’influence;Aus Einflusssphдre;;De la zona de influencia;;;;;;;;;x;
SPHEREMASTER_TO_CULTURAL;Количество наших культурных традиций - §R$VAL$§W, тогда как держава §Y$WHO$§W имеет $WHOVAL$.;Notre tradition culturelle n’est que de §R$VAL$§W, tandis que celle de §Y$WHO$§W est de $WHOVAL$.;Wir haben nur §R$VAL$§W Kulturtradition, w?hrend §Y$WHO$§W  $WHOVAL$ hat.;;Solo tenemos §R$VAL$§W tradiciуn cultural, mientras que §Y$WHO$§W tiene $WHOVAL$.;;;;;;;;;x;
WT_NOT_NOMADS;Нельзя вводить военный налог, воюя только с кочевниками.;Vous ne pouvez pas lever d’impфts de guerre lorsque vous кtes uniquement en guerre avec des nomades.;Ihr kцnnt in einem Krieg gegen Nomaden keine Kriegssteuern eintreiben.;;No puedes subir los impuestos de guerra cuando estбs en guerra solamente con nуmadas.;;;;;;;;;x;
NO_NOMAD_NO_COLONY;Кочевники не могут заниматься колонизацией.;Les nomades ne peuvent rien coloniser.;Nomaden k?nnen nicht kolonisieren.;;Los nуmadas no pueden colonizar.;;;;;;;;;x;
IS_LESS_THAN_X_TECH_AHEAD;Впереди меньше чем на §Y$VAL$§W технологических уровней;Moins de §Y$VAL$§W technologies d’avance.;Weniger als §Y$VAL$§W Technologien vorran.;;Menos de §Y$VAL$§W tecnologнas por delante.;;;;;;;;;x;
IS_AT_LEAST_X_TECH_AHEAD;Впереди как минимум на §Y$VAL$§W технологических уровней;Au moins §Y$VAL$§W technologies d’avance.;Zumindest §Y$VAL$§W Technologien vorran.;;Al menos §Y$VAL$§W tecnologнas por delante.;;;;;;;;;x;
HAS_LEADER_WITH_STATS;Есть, как минимум, один §Y$TYPE$§W с характеристиками: $DETAILS$.;A au moins un §Y$TYPE$§W avec $DETAILS$.;Hat zumindest ein §Y$TYPE$§W mit $DETAILS$.;;Tiene al menos un §Y$TYPE$§W con $DETAILS$.;;;;;;;;;x;
HAS_NOT_LEADER_WITH_STATS;Нет ни одного командира типа §Y$TYPE$§W с характеристиками: $DETAILS$.;N’a PAS de §Y$TYPE$§W avec $DETAILS$.;Hat KEINE §Y$TYPE$§W mit $DETAILS$.;;NO tiene ningъn §Y$TYPE$§W con $DETAILS$.;;;;;;;;;x;
LEADER_STAT_DETAIL;$TYPE$ с характеристиками не ниже $VAL$.;$TYPE$ d’au moins $VAL$.;$TYPE$ zumindest $VAL$.;;$TYPE$ de al menos $VAL$.;;;;;;;;;x;
LAND_MORALE_LESS_THAN;Боевой дух армии менее;Moral de l’armйe infйrieur а ;Landmoral weniger als;;Moral terrestre menor de;;;;;;;;;x;
LAND_MORALE_THAN;Боевой дух армии не менее;Moral de l’armйe d’au moins ;Landoral zumindest;;Moral terrestre de al menos;;;;;;;;;x;
NAVAL_MORALE_LESS_THAN;Боевой дух менее;Moral de la marine infйrieur а ;Flottenmoral weniger als;;Moral naval menor de;;;;;;;;;x;
NAVAL_MORALE_THAN;Боевой дух не менее;Moral de la marine d’au moins ;Flottenmoral zumindest;;Moral naval de al menos;;;;;;;;;x;
PROV669;Фучжоу;Fuzhou;Fuzhou;;Fuzhou;;;;;;;;;x;
PROV684;Ханчжоу;Hangzhou;Hangzhou;;Hangzhou;;;;;;;;;x;
PROV685;Хуайинь;Huai'an;Huai'an;;Huai'an;;;;;;;;;x;
PROV686;Аньцин;Anqing;Anqing;;Anqing;;;;;;;;;x;
PROV688;Кайфэн;Kaifeng;Kaifeng;;Kaifeng;;;;;;;;;x;
PROV695;Хэцзянь;Hejian;Hejian;;Hejian;;;;;;;;;x;
PROV1031;Камикава;Kamikawa;Kamikawa;;Kamikawa;;;;;;;;;x;
PROV1815;Хюга;Hyuga;Hyuga;;Hyuga;;;;;;;;;x;
PROV1816;Пекин;Pйkin;Beijing;;Beijing;;;;;;;;;x;
PROV1817;Хиго;Higo;Higo;;Higo;;;;;;;;;x;
