revolutionary_republic_desc;Революционная республика представляет собой правительство, где основную роль играет законодательная власть парламента, а исполнительной власти отводится вспомогательная роль. Революционная пропаганда повышает мораль армий, защищающих завоевания революции, а принципы равенства всех и каждого обеспечивают отличное лидерство.;La rйpublique rйvolutionaire reprйsente le gouvernement d'une nation par un petit йxйcutif et avec le soutien d'une chambre de dйputйs йlus. La propagande rйvolutionaire donne aux armйes dйfendant la rйvolution un moral йlevй, et le principe d'йgalitй permet un commandement fort.;Eine Republik wдhrend der Revolution hat eine kleine Exekutive, die von der Nationalversammlung gestьtzt wird. Die Propaganda der Revolution stдrkt die Moral der republikanischen Armeen. Das Prinzip, dass jeder Mensch gleich ist, stдrkt das Offizierskorps.;;La repъblica revolucionaria representa el gobierno de la naciуn por parte de un pequeсo poder ejecutivo con el apoyo de una cбmara electa de diputados. La propaganda revolucionaria da a los ejйrcitos que defienden la Revoluciуn una gran moral, y el principio de que todo el mundo es igual les proporciona un fuerte liderato.;;;;;;;;;x
revolutionary_empire_desc;Революционная империя - немного более консервативная форма правления с единоличным правителем, опирающимся на лояльный парламент. Правительство может мобилизовать большое число рекрутов, и каждый из этих солдат несет маршальский жезл в своем ранце.;L'empire rйvolutionaire est une forme de gouvernement lйgиrement plus conservateur avec un dirigeant unique gouvernant en se rйfйrant а une chambre de dйputйs. Le gouvernement peut mobiliser trиs largement et chaque soldat possиde un bвton de marйchal dans son sac а dos.;Ein Imperium wдhrend der Revolution ist kaum mehr, als eine etwas konservativere Regierungsform. Der Monarch regiert mit Hilfe einer Nationalversammlung. Die Regierung kann eine groЯe Armee mobilisieren und jeder Soldat hat einen Marschallsstab in seinem Marschgepдck.;;El imperio revolucionario es una forma algo mбs conservadora de gobierno, con un solo gobernante que ejerce su poder consultando a una cбmara de diputados. El gobierno puede movilizar a una gran cantidad de soldadesca, y cada soldado lleva un bastуn de mariscal en su petate.;;;;;;;;;x
on;Вкл.;Oui;Ein;;Un(a);;;;;;;;;x
off;Выкл.;Non;Aus;;De;;;;;;;;;x
very easy;Очень легко;Trиs Facile;Sehr Einfach;;Muy fбcil;;;;;;;;;x
easy;Легко;Facile;Einfach;;Fбcil;;;;;;;;;x
normal;Нормально;Normal;Normal;;Normal;;;;;;;;;x
hard;Сложно;Difficile;Schwer;;Difнcil;;;;;;;;;x
very hard;Очень сложно;Trиs Difficile;Sehr Schwer;;Muy difнcil;;;;;;;;;x
TRIGGER_OVERLORD;Сеньор;Seigneur;Lehnsherr;;Seсor ;;;;;;;;;x
EVTNAME7001;Протесты местного дворянства;Protestation de nobles locaux;Die цrtlichen Adeligen protestieren;;Protesta de los nobles locales;;;;;;;;;x
EVTDESC7001;Наш новый монарх, кажется, предпочитает назначать на все посты дворян из его собственных земель. Наша знать крайне обеспокоена тем, что они сами и благородная история их семейств безрассудно игнорируются.;Notre nouveau monarque semble favoriser les nobles de son propre entourage pour l'emploi dans l'Йtat. Notre noblesse est mйcontente que les siиcles passйs а verser leur sang sont ignorйs de maniиre insensйe.;Unser neuer Herrscher scheint fremde Adelige aus seinem Reich bei der Vergabe von Дmtern zu bevorzugen. Die alteingesessenen Adeligen sind sehr aufgebracht, dass Jahrhunderte der Erbfolge einfach so ignoriert werden.;;Al parecer, nuestro nuevo gobernante favorece a la nobleza de su propio reino en lo tocante a la concesiуn de cargos. Nuestra nobleza estб consternada porque se estбn tirando neciamente por la borda los siglos que llevan de buena crianza.;;;;;;;;;x
EVTOPTA7001;Отрубите им всем головы!;Qu'on leur coupe la tкte !;Enthauptet ein paar von ihnen!;;ЎDecapitad a unos cuantos!;;;;;;;;;x
EVTOPTB7001;Урегулируйте конфликт;Reconciliation;Schlichtet!;;Reconciliйmonos;;;;;;;;;x
EVTNAME7002;$MONARCH$ игнорирует нас;$MONARCH$ ignore $COUNTRY$;$MONARCH$ ignoriert $COUNTRY$;;$MONARCH$ hace caso omiso de $COUNTRY$;;;;;;;;;x
EVTDESC7002;Наш общий монарх сосредоточился на делах собственного королевства, и не уделяет достаточного внимания проблемам нашей державы.;Notre monarque commun est trиs concentrй sur son royaume d'origine et ne semble pas passer suffisamment de temps aux affaires de notre royaume.;Unser gemeinsamer Herrscher kьmmert sich nur um sein eigenes Reich und bringt nicht die nцtige Zeit auf, um sich um die hiesigen Staatsangelegenheiten zu kьmmern.;;Nuestro comъn monarca estб muy centrado en su propio reino y parece que no dedica el tiempo suficiente a los problemas del nuestro.;;;;;;;;;x
EVTOPTA7002;Как-как? $COUNTRY$? А где это?;C'est oщ, $COUNTRY$, dйjа ?;Wo war $COUNTRY$ nochmal?;;A ver, їdуnde estaba $COUNTRY$?;;;;;;;;;x
EVTOPTB7002;Хорошо, я посещу их столицу;Oui, oui, Je visiterai $CAPITAL$...;Seufz, ich werde $CAPITAL$ besuchen;;Visitaremos $CAPITAL$, quй remedio;;;;;;;;;x
EVTNAME7003;Экономическое запустение;On nйglige йconomiquement $COUNTRY$.;$COUNTRY$ wirtschaftlich vernachlдssigt;;Se descuida la economнa de $COUNTRY$;;;;;;;;;x
EVTDESC7003;Хоть мы и объединены в личной унии с нашим сеньором, наши купцы по-прежнему рассматриваются в его землях как чужие, что наносит серьезный ущерб нашей экономике.;Bien que nous soyons unis en la personne de nos souverains, nos marchands sont toujours traitйs comme des йtrangers. Cela a des impacts nйgatifs sur notre йconomie.;Auch wenn unsere Staaten eine gemeinsame Fьhrung besitzen, werden unsere Hдndler immer noch als Fremde behandelt. Dies schдdigt unsere Wirtschaft.;;Aunque estemos unidos en la persona de nuestro soberano, a los comerciantes de nuestra naciуn se les sigue tratando como a extranjeros. Esto estб perjudicando econуmicamente a nuestra naciуn.;;;;;;;;;x
