Tag;Английский;German;French;Spanish;;;;;;;;;;;;
FE_PLAYERS;Игроки;Menschliche Spieler;Joueurs humains;Jugadores humanos;;;;;;;;;;x;;
TRADE_THROUGH_TT;\n§Y$GOODS$§W через ТЦ §Y$WHERE$§W.;§Y$GOODS$§W durch §Y$WHERE$§W;§Y$GOODS$§W via §Y$WHERE$§W;§Y$GOODS$§W a travйs de §Y$WHERE$§W;;;;;;;;;;x;;
SHOGUNATEDEAD_SETUP;Иностранцы распускают сегунат;Wenn das Shogunat von Auslдndern aufgelцst wurde.;Lorsque le shogunat a йtй dйmantelй par des йtrangers.;Cuando el shogunato ha sido eliminado por extranjeros.;;;;;;;;;;x;;
SHOGUNATEDEAD_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;;;;;x;;
SHOGUNATEDEAD_1;Конец сегуната!;Shogunat aufgelцst!;Shogunat dйmantelй !;ЎShogunato eliminado!;;;;;;;;;;x;;
SHOGUNATEDEAD_2;$MONARCHTITLE$, сегунат;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;;;;;;;;;;x;;
SHOGUNATEDEAD_3;был распущен $EVIL_ADJ$ войсками,;Das Shogunat wurden von den $EVIL_ADJ$ Armeen auf ihrem Vernichtungsfeldzug durch die japanischen Provinzen aufgelцst.;Le shogunat a йtй dйmantelй par les armйes $EVIL_ADJ$ alors qu’elles rasaient la campagne japonaise.;El shogunato ha sido eliminado por los ejйrcitos de $EVIL_ADJ$ mientras arrasaban el campo japonйs.;;;;;;;;;;x;;
SHOGUNATEDEAD_4;покорившими Японию.;*;*;*;*;*;*;*;*;*;*;*;*;x;;
SHOGUNATEDEAD_5;*;*;*;*;*;*;*;*;*;*;*;*;*;x;;
SHOGUNATEDEAD_6;*;*;*;*;*;*;*;*;*;*;*;*;*;x;;
SHOGUNATEDEAD_LOG;$EVIL_ADJ$ армии распустили японский сегунат силой оружия!;Die $EVIL_ADJ$ haben das Shogunat mit Waffengewalt aufgelцst!;Les $EVIL_ADJ$ ont dйmantelй le shogunat sous la menace d’armes а feu !;ЎEl $EVIL_ADJ$ ha eliminado al shogunato a punta de pistola!;;;;;;;;;;x;;
SHOGUNATEDEAD_BTN1;Негодяи!;Diese Bastarde!;Les ordures !;ЎBastardos!;;;;;;;;;;x;;
SHOGUNATEDEAD_BTN2;Мерзавцы!;Diese Bastarde!;Les ordures !;ЎBastardos!;;;;;;;;;;x;;
SHOGUNATEDEAD_BTN3;Перейти;Gehe zu;Afficher;Ir a;;;;;;;;;;x;;
SHOGUNATEDEAD_MAP;*;*;*;*;*;*;*;*;*;*;*;*;*;x;;
NOMAD_BUILDING_LEFT;Чтобы захватить эту провинцию, придется разрушить все оставшиеся в ней здания. Сейчас их §Y$NUM$§W.;Zur Eroberung mьssen wir noch §Y$NUM$§W Gebдude niederreiЯen.;Il reste §Y$NUM$§W bвtiments а raser pour permettre sa conquкte.;Quedan §Y$NUM$§W edificios que arrasar antes de poder conquistar esto.;;;;;;;;;;x;;
UNIT_SPLIT_HALF;Пополам;Halbieren;Divisй de moitiй;Dividida en dos partes;;;;;;;;;;x;;
UNIT_ENABLE_REBEL_HUNT;Подавление;Rebellen jagen;Rebelles chassйs;Cazar rebeldes;;;;;;;;;;x;;
UNIT_DISABLE_REBEL_HUNT;(подавление);(auf der Rebellenjagd);(chasse des rebelles);(cazando rebeldes);;;;;;;;;;x;;
ENABLE_REBEL_SUPPRESSION;Начать самостоятельное подавление повстанцев;Autonome Rebellenunterdrьckung aktivieren;Activer la neutralisation autonome des rebelles;Habilitar eliminaciуn de rebeldes autуnoma ;;;;;;;;;;x;;
DISABLE_REBEL_SUPPRESSION;Отменить самостоятельное подавление повстанцев;Autonome Rebellenunterdrьckung deaktivieren;Dйsactiver la neutralisation autonome des rebelles;Deshabilitar eliminaciуn de rebeldes autуnoma ;;;;;;;;;;x;;
